case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,2017,White,Male,3,0,3,Workplace,39.959034,-82.596508,Mass,43,Yes,"Hartless had a violent criminal history; his former girlfriend had submitted a letter in court recently stating that he had ""a severe mental disorder.""",TBD,N/a,"handgun, shotgun",N/a,http://abc6onyourside.com/news/local/reportN/aofN/ashootingN/ainN/akirkersville; http://www.cbsnews.com/news/64N/agunsN/aseizedN/afromN/ahomeN/aofN/akillerN/ainN/aohioN/anursingN/ahomeN/ashooting/; https://www.whio.com/news/crimeN/aN/alaw/kirkersvilleN/aneighborN/awarnsN/ashooterN/amonthN/abeforeN/acareN/acenterN/aattack/OukG4cD38566LEogbq0qDM/,http://www.cbsnews.com/news/64N/agunsN/aseizedN/afromN/ahomeN/aofN/akillerN/ainN/aohioN/anursingN/ahomeN/ashooting/,http://abc6onyourside.com/news/local/reportN/aofN/ashootingN/ainN/akirkersville; http://www.cbsnews.com/news/64N/agunsN/aseizedN/afromN/ahomeN/aofN/akillerN/ainN/aohioN/anursingN/ahomeN/ashooting/,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was found dead at the scene of the attack, having turned his gun on himself, according to local authorities.",,,,,,
Fresno downtown shooting,"Fresno, California",4/18/2017,2017,Black,Male,3,0,3,Other,36.746378,-119.800319,Mass,39,Unclear,N/a,Unknown,N/a,handgun,.357 revolver,http://www.dailymail.co.uk/news/articleN/a4443722/GunmanN/aFresnoN/ashootingN/aspeaksN/ajail.html; https://www.nytimes.com/2017/04/18/us/fresnoN/ashootingN/arampageN/akoriN/aaliN/amuhammad.html?_r=0,N/a,http://www.dailymail.co.uk/news/articleN/a4443722/GunmanN/aFresnoN/ashootingN/aspeaksN/ajail.html; https://www.nytimes.com/2017/04/18/us/fresnoN/ashootingN/arampageN/akoriN/aaliN/amuhammad.html?_r=0,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",,,,,,
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,2017,Latino,Male,5,6,11,Airport,26.072751,-80.143382,Mass,26,Yes,"Among other signs, Santiago had gone to a FBI office in Anchorage and complained that his mind was being controlled by the CIA.",Yes,N/a,"semiautomatic handgun
",Walther 9mm semiN/aautomatic pistol[,http://www.nytimes.com/2017/01/07/us/estebanN/asantiagoN/afortN/alauderdaleN/aairportN/ashootingN/a.html?_r=0,http://www.nytimes.com/2017/01/07/us/estebanN/asantiagoN/afortN/alauderdaleN/aairportN/ashootingN/a.html?_r=0,http://www.nytimes.com/2017/01/07/us/estebanN/asantiagoN/afortN/alauderdaleN/aairportN/ashootingN/a.html?_r=0,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",,,,,,
Cascade Mall shooting,"Burlington, Washington",9/23/2016,2016,N/a,Male,5,0,5,Other,48.461367,-122.337918,Mass,20,Yes,"According to the Cetin's stepfather he had ""mental health issues""; court records showed that he suffered from anxiety and depression. ",TBD,N/a,Rifle,Ruger .22N/acaliber,http://www.nytimes.com/2016/09/25/us/mallN/ashootingN/awashingtonN/astate.html; https://www.seattletimes.com/seattleN/anews/crime/accusedN/acascadeN/amallN/ashooterN/adiesN/ainN/asnohomishN/acountyN/ajail/,http://www.nbcnews.com/news/usN/anews/arcanN/acetinN/aaccusedN/acascadeN/amallN/ashooterN/achargedN/afiveN/acountsN/amurderN/an654586,http://www.nytimes.com/2016/09/25/us/mallN/ashootingN/awashingtonN/astate.html; https://www.seattletimes.com/seattleN/anews/crime/accusedN/acascadeN/amallN/ashooterN/adiesN/ainN/asnohomishN/acountyN/ajail/,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",,,,,,
Baton Rouge police shooting,"Baton Rouge, Lousiana",7/17/2016,2016,Black,Male,3,3,6,Other,30.433601,-91.081403,Spree,29,Yes,Unclear,Unknown,N/a,Two semiautomatic rifles; one semiautomatic handgun,"IWI Tavor SAR 5.56 caliber rifle, Springfield XD 9, 9mm",http://time.com/4411027/batonN/arougeN/ashooterN/agavinN/along/ ; http://www.nytimes.com/2016/07/18/us/batonN/arougeN/ashooting.html; http://www.kansascity.com/news/local/article90266242.html; http://www.nola.com/crime/index.ssf/2016/07/gavin_long_guns_baton_rouge_po.html; http://www.motherjones.com/politics/2016/07/copycatN/amassN/ashootersN/arisingN/abatonN/arougeN/amunich,N/a,http://time.com/4411027/batonN/arougeN/ashooterN/agavinN/along/ ; http://www.nytimes.com/2016/07/18/us/batonN/arougeN/ashooting.html; http://www.kansascity.com/news/local/article90266242.html; http://www.nola.com/crime/index.ssf/2016/07/gavin_long_guns_baton_rouge_po.html; http://www.motherjones.com/politics/2016/07/copycatN/amassN/ashootersN/arisingN/abatonN/arougeN/amunich ; https://www.nytimes.com/2017/06/30/us/gavinN/alongN/asuicideN/anoteN/abatonN/arouge.html,"Gavin Long, 29, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shootN/aout with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",,,,,,
Dallas police shooting,"Dallas, Texas",7/7/2016,2016,Black,Male,5,11,16,Other,32.7801052,-96.8000082,Mass,25,Unclear,Unclear,Yes,online and or gun show,"Semiautomatic rifle, semiautomatic handguns","IzhmashN/aSaiga 5.45mm (AKN/astyle) semiautomatic rifle with large capacity magazines; Glock 9mm handgun, .25N/acaliber semiautomatic handgun",http://www.nytimes.com/2016/07/11/us/dallasN/ashootingN/amicahN/ajohnsonN/apolice.html?_r=0; http://www.wsj.com/articles/dallasN/ashooterN/apurchasedN/agunsN/alegallyN/aofficialN/asaysN/a1468269720,N/a,http://www.nytimes.com/2016/07/11/us/dallasN/ashootingN/amicahN/ajohnsonN/apolice.html?_r=0; http://www.wsj.com/articles/dallasN/ashooterN/apurchasedN/agunsN/alegallyN/aofficialN/asaysN/a1468269720,"Micah Xavier Johnson, a 25N/ayearN/aold Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robotN/adelivered bomb.",,,,,,
Orlando nightclub massacre,"Orlando, Florida",6/12/2016,2016,Other,Male,49,53,102,Other,28.519718,-81.376777,Mass,29,Unclear,Unclear,Yes,"Shooting center in Port St. Lucie, Florida","Semiautomatic rifle, semiautomatic handgun","Sig Sauer MCX rifle, Glock 17 9mm; highN/acapacity magazines (30 rounds)",http://www.motherjones.com/politics/2016/06/assaultN/arifleN/ausedN/abyN/aorlandoN/amassN/ashooter; http://wrbl.com/2016/06/13/orlandoN/apoliceN/amakeN/astatementN/aonN/amassN/ashooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html,N/a,http://www.motherjones.com/politics/2016/06/assaultN/arifleN/ausedN/abyN/aorlandoN/amassN/ashooter; http://wrbl.com/2016/06/13/orlandoN/apoliceN/amakeN/astatementN/aonN/amassN/ashooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",,,,,,
Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,2016,Black,Male,3,14,17,Workplace,38.135992,-97.425145,Mass,38,Unclear,Unclear,Yes,N/a,"Semiautomatic rifle, semiautomatic handgun","Zastava Serbia AKN/a47N/astyle rifle, Glock Model 22 .40N/acaliber handgun; highN/acapacity magazines (30 rounds)",http://www.nytimes.com/2016/02/26/us/shootingN/aatN/aplantN/ahesstonN/akansas.html; https://www.washingtonpost.com/news/morningN/amix/wp/2016/02/26/alcoholicN/aviolentN/adepressedN/aportraitN/aofN/akansasN/ashooterN/aemerges/; https://www.washingtonpost.com/news/postN/anation/wp/2016/02/26/kansasN/agunmanN/aservedN/aprotectionN/afromN/aabuseN/aorderN/ashortlyN/abeforeN/ashootingsN/asheriffN/asays/; http://heavy.com/news/2016/02/cedricN/afordN/ahesstonN/akansasN/ashootingN/ashooterN/afacebookN/avideoN/afiringN/arifleN/agunN/afieldN/aak47N/aakN/a47N/alongN/agunN/aphotosN/awatchN/ayoutube/; http://fox4kc.com/2016/02/26/kansasN/awomanN/achargedN/awithN/aprovidingN/agunsN/atoN/ahesstonN/ashooter/,N/a,http://www.nytimes.com/2016/02/26/us/shootingN/aatN/aplantN/ahesstonN/akansas.html; https://www.washingtonpost.com/news/morningN/amix/wp/2016/02/26/alcoholicN/aviolentN/adepressedN/aportraitN/aofN/akansasN/ashooterN/aemerges/; https://www.washingtonpost.com/news/postN/anation/wp/2016/02/26/kansasN/agunmanN/aservedN/aprotectionN/afromN/aabuseN/aorderN/ashortlyN/abeforeN/ashootingsN/asheriffN/asays/; http://heavy.com/news/2016/02/cedricN/afordN/ahesstonN/akansasN/ashootingN/ashooterN/afacebookN/avideoN/afiringN/arifleN/agunN/afieldN/aak47N/aakN/a47N/alongN/agunN/aphotosN/awatchN/ayoutube/; http://fox4kc.com/2016/02/26/kansasN/awomanN/achargedN/awithN/aprovidingN/agunsN/atoN/ahesstonN/ashooter/,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",,,,,,
Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,2016,White,Male,6,2,8,Other,42.236689,-85.674795,Mass,45,Unclear,Unclear,Yes,N/a,Semiautomatic handgun,9 mm handgun (ammo used unclear),http://www.nytimes.com/2016/02/22/us/kalamazooN/amichiganN/arandomN/ashootings.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/4_things_we_know_about_kalamaz.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/prosecutor_mass_shooting_suspe.html#incart_river_index,N/a,http://www.nytimes.com/2016/02/22/us/kalamazooN/amichiganN/arandomN/ashootings.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/4_things_we_know_about_kalamaz.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/prosecutor_mass_shooting_suspe.html#incart_river_index,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",,,,,,
San Bernardino mass shooting,"San Bernardino, California",12/2/2015,2015,Other,Male & Female,14,21,35,"
Workplace",34.075961,-117.27789,Mass,28,Unclear,Unclear,"
Yes",The suspects purchased their handguns in the United States; the assault rifles were purchased by a third party.,"Two assault rifles and two semiN/aautomatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the ARN/a15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.","Two semiautomatic ARN/a15N/astyle rifles—one a DPMS AN/a15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.",http://www.motherjones.com/mojo/2015/12/sanN/abernardinoN/ashooting and  http://www.cnbc.com/2015/12/03/sanN/abernardinoN/ashootingN/asuspectsN/arizwanN/afarookN/atashfeenN/amalikN/adead.html and http://www.nytimes.com/2015/12/04/us/sanN/abernardinoN/ashooting.html and http://www.nytimes.com/2015/12/04/us/weaponsN/ainN/asanN/abernardinoN/ashootingsN/awereN/alegallyN/aobtained.html?_r=0,N/a,http://www.motherjones.com/mojo/2015/12/sanN/abernardinoN/ashooting and  http://www.cnbc.com/2015/12/03/sanN/abernardinoN/ashootingN/asuspectsN/arizwanN/afarookN/atashfeenN/amalikN/adead.html and http://www.nytimes.com/2015/12/04/us/sanN/abernardinoN/ashooting.html and http://www.nytimes.com/2015/12/04/us/weaponsN/ainN/asanN/abernardinoN/ashootingsN/awereN/alegallyN/aobtained.html?_r=0,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",,,,,,
Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,2015,White,Male,3,9,12,Workplace,38.881031,-104.849057,Mass,57,Unclear,"The judge in the case has not publicly released Dear's medical and mental health records. As of April 5, 2016, Dear was undergoing a competency evaluation. Dear had a history of disputes with his relatives and neighbors. At a hearing in December 2015, he said, ""I am a warrior for the babies.""",Unknown,Unclear,Long gun,Reportedly an AKN/a47 style semiautomatic rifle and others. Authorities had not released details on Dear's weapons as of April 2016.,http://www.nytimes.com/2015/11/28/us/coloradoN/aplannedN/aparenthoodN/ashooting.html and http://www.cnn.com/2015/12/09/us/coloradoN/aplannedN/aparenthoodN/ashooting/ and http://www.npr.org/sections/thetwoN/away/2015/11/28/457674369/plannedN/aparenthoodN/ashootingN/apoliceN/anameN/asuspectN/aprocessionN/aforN/afallenN/aofficer and http://www.cbsnews.com/news/robertN/alewisN/adearN/aplannedN/aparenthoodN/afirstN/acourtN/aappearance/ and http://www.denverpost.com/news/ci_29729326/judgeN/awontN/areleaseN/aallN/arecordsN/aaccusedN/aplannedN/aparenthood and http://www.csindy.com/IndyBlog/archives/2016/02/17/judgeN/aresistsN/aunsealingN/adearN/aaffidavits; http://www.nbcnews.com/news/usN/anews/whoN/arobertN/adearN/aplannedN/aparenthoodN/ashootingN/asuspectN/aseemedN/astrangeN/anotN/an470896,N/a,http://www.nytimes.com/2015/11/28/us/coloradoN/aplannedN/aparenthoodN/ashooting.html and http://www.cnn.com/2015/12/09/us/coloradoN/aplannedN/aparenthoodN/ashooting/ and http://www.npr.org/sections/thetwoN/away/2015/11/28/457674369/plannedN/aparenthoodN/ashootingN/apoliceN/anameN/asuspectN/aprocessionN/aforN/afallenN/aofficer and http://www.cbsnews.com/news/robertN/alewisN/adearN/aplannedN/aparenthoodN/afirstN/acourtN/aappearance/ and http://www.denverpost.com/news/ci_29729326/judgeN/awontN/areleaseN/aallN/arecordsN/aaccusedN/aplannedN/aparenthood and http://www.csindy.com/IndyBlog/archives/2016/02/17/judgeN/aresistsN/aunsealingN/adearN/aaffidavits; http://www.nbcnews.com/news/usN/anews/whoN/arobertN/adearN/aplannedN/aparenthoodN/ashootingN/asuspectN/aseemedN/astrangeN/anotN/an470896,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hoursN/along standoff with police.",,,,,,
Colorado Springs shooting rampage,"Colorado Springs, Colorado",10/31/2015,2015,White ,Male,3,0,3,Other,38.83755,-104.814251,Mass,33,Unclear,"Prior to the rampage, Harpham wrote an ""incoherent"" blog and rambled ""nonsensically"" in a YouTube video about mind control techniques and God, according to the Denver Post. He had a history of drug and alcohol abuse. ",Yes,Unclear,Two handguns and a rifle,"ARN/a15 rifle, a 9 mm pistol, and a .357 revolver ",http://www.motherjones.com/mojo/2015/11/openN/acarryN/amassN/ashootingN/acoloradoN/asprings and http://www.denverpost.com/news/ci_29059452/coloradoN/aspringsN/apoliceN/aconfrontedN/ashotN/agunmanN/aminutes and http://www.cbsnews.com/news/shooterN/ainN/acoloradoN/aspringsN/arampageN/alegallyN/apurchasedN/aguns/,N/a,http://www.motherjones.com/mojo/2015/11/openN/acarryN/amassN/ashootingN/acoloradoN/asprings and http://www.denverpost.com/news/ci_29059452/coloradoN/aspringsN/apoliceN/aconfrontedN/ashotN/agunmanN/aminutes and http://www.cbsnews.com/news/shooterN/ainN/acoloradoN/aspringsN/arampageN/alegallyN/apurchasedN/aguns/,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",,,,,,
Umpqua Community College shooting,"Roseburg, Oregon",10/1/2015,2015,Other,Male,9,9,18,School,43.289538,-123.333193,Mass,26,Unclear,"HarperN/aMercer's mother said in multiple online postings that he had Asperger's syndrome. HarperN/aMercer graduated from the Switzer Learning Center, a school for students with special needs, emotional difficulties, autism and Asperger's syndrome.",Yes,From the home he shared with his mother. All were legally obtained by either Harper/Mercer or family members.,"Five pistols, one rifle, five magazines of ammunition","9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber DelN/aTon; (ammo details unclear)",http://www.nytimes.com/2015/10/03/us/chrisN/aharperN/amercerN/aumpquaN/acommunityN/acollegeN/ashooting.html; http://www.latimes.com/nation/nationnow/laN/anaN/annN/achrisN/aharperN/amercerN/aoregonN/ashootingN/a20151002N/ahtmlstory.html; http://www.huffingtonpost.com/entry/ianN/amercerN/afatherN/aguns_56116d7ae4b0af3706e12525; http://wate.com/2015/10/02/whatN/aweN/aknowN/aaboutN/aumpquaN/acommunityN/acollegeN/ashooterN/a2/; http://www.cnn.com/2015/10/02/us/oregonN/aumpquaN/acommunityN/acollegeN/ashooting/ ,http://www.latimes.com/nation/nationnow/laN/anaN/annN/achrisN/aharperN/amercerN/aoregonN/ashootingN/a20151002N/ahtmlstory.html,http://www.nytimes.com/2015/10/03/us/chrisN/aharperN/amercerN/aumpquaN/acommunityN/acollegeN/ashooting.html; http://www.latimes.com/nation/nationnow/laN/anaN/annN/achrisN/aharperN/amercerN/aoregonN/ashootingN/a20151002N/ahtmlstory.html; http://www.huffingtonpost.com/entry/ianN/amercerN/afatherN/aguns_56116d7ae4b0af3706e12525; http://wate.com/2015/10/02/whatN/aweN/aknowN/aaboutN/aumpquaN/acommunityN/acollegeN/ashooterN/a2/; http://www.cnn.com/2015/10/02/us/oregonN/aumpquaN/acommunityN/acollegeN/ashooting/ ,26N/ayearN/aold Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,,,,,,
Chattanooga military recruitment center,"Chattanooga, Tennessee",7/16/2015,2015,Other,Male,5,2,7,Military,35.047157,-85.311819,Mass,24,Unclear,"Abdulazeez ""had suffered for years from depression and possibly from bipolar disorder,"" according to a representative of the family. (NYT, July 20 2015)","Yes (""some of the weapons were purchased legally and some of them may not have been"")","On the internet, via Armslist.com","2 assault rifles; semiautomatic handgun
","AKN/a47, ARN/a15, and 30N/around magazines; 9mm handgun",http://www.reuters.com/article/2015/07/16/usN/ausaN/ashootingN/atennesseeN/aidUSKCN0PQ1WY20150716; http://www.nytimes.com/2015/07/18/us/chattanoogaN/agunmansN/apastN/ascouredN/aforN/aextremistN/aties.html; http://www.wsj.com/articles/chattanoogaN/ashootingN/ahighlightsN/aonlineN/agunN/asalesN/a1437435518http://www.nytimes.com/2015/07/19/us/chattanoogaN/aattacksN/aclaimN/aaN/a5thN/amilitaryN/aserviceN/amembersN/alife.html; http://www.cnn.com/2015/07/17/us/tennesseeN/anavalN/areserveN/ashooting/; https://twitter.com/markfollman/status/622105627473477632; http://www.nytimes.com/2015/07/21/us/chattanoogaN/agunmanN/awroteN/aofN/asuicideN/aandN/amartyrdomN/aofficialN/asays.html,N/a,http://www.reuters.com/article/2015/07/16/usN/ausaN/ashootingN/atennesseeN/aidUSKCN0PQ1WY20150716; http://www.nytimes.com/2015/07/18/us/chattanoogaN/agunmansN/apastN/ascouredN/aforN/aextremistN/aties.html; http://www.wsj.com/articles/chattanoogaN/ashootingN/ahighlightsN/aonlineN/agunN/asalesN/a1437435518http://www.nytimes.com/2015/07/19/us/chattanoogaN/aattacksN/aclaimN/aaN/a5thN/amilitaryN/aserviceN/amembersN/alife.html; http://www.cnn.com/2015/07/17/us/tennesseeN/anavalN/areserveN/ashooting/; https://twitter.com/markfollman/status/622105627473477632; http://www.nytimes.com/2015/07/21/us/chattanoogaN/agunmanN/awroteN/aofN/asuicideN/aandN/amartyrdomN/aofficialN/asays.html,"KuwaitiN/aborn Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",,,,,,
Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,2015,White,Male,9,1,10,Religious,32.788387,-79.933143,Mass,21,Unclear,N/a,Yes,"Shooter's Choice gun store in West Columbia, South Carolina",Handgun,".45N/acaliber Glock (model 41, with 13N/around capacity magazine)",http://www.motherjones.com/politics/2015/06/dylannN/aroofsN/aattorney; http://www.newsweek.com/reportN/anineN/ashotN/acharlestonN/asouthN/acarolinaN/achurchN/ashootingN/a344235; http://www.cnn.com/2015/06/19/us/charlestonN/achurchN/ashootingN/asuspect/; http://www.motherjones.com/politics/2015/06/9N/apeopleN/adeadN/amassN/ashootingN/asouthN/acarolinaN/achurch; http://www.nbcnews.com/storyline/charlestonN/achurchN/ashooting/fbiN/asaysN/adyannN/aroofN/ashouldN/anotN/ahaveN/abeenN/asoldN/agunN/an390056 ,N/a,http://www.motherjones.com/politics/2015/06/dylannN/aroofsN/aattorney; http://www.newsweek.com/reportN/anineN/ashotN/acharlestonN/asouthN/acarolinaN/achurchN/ashootingN/a344235; http://www.cnn.com/2015/06/19/us/charlestonN/achurchN/ashootingN/asuspect/; http://www.motherjones.com/politics/2015/06/9N/apeopleN/adeadN/amassN/ashootingN/asouthN/acarolinaN/achurch; http://www.nbcnews.com/storyline/charlestonN/achurchN/ashooting/fbiN/asaysN/adyannN/aroofN/ashouldN/anotN/ahaveN/abeenN/asoldN/agunN/an390056 ,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",,,,,,
Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,2015,Latino,Male,3,1,4,Other,44.204124,-88.467541,Mass,27,Yes,"While serving in the Air Force, he went to an emergency walkN/ain clinic because of concerns over his mood swings, and had either sought or been ordered to behavioral health interventions, according to Fox 6 Now. In a 2014 risk assessment with a psychologist at an outpatient clinic in Appleton, Valencia del Toro recalled thinking previously: ""If I'm gonna take myself out, I might as well take other people with me."" The police report obtained by Fox 6 says that Valencia del Toro had a history of depression, suicidal and occassionally homicidal thoughts, and alcoholism. He was intoxicated on the day of the shooting.",Yes,Unclear,"Two handguns
","Details unclear, but after the shooting, police found eight guns in total in Valencia del Toro's home, including handguns, shotguns, and rifles, plus and more than 1,000 rounds of ammunition. He took two weapons and ammunition to the bridge.",http://fox6now.com/2015/06/11/releasedN/amenashaN/apoliceN/aissueN/afinalN/areportN/aonN/atrestleN/atrailN/abridgeN/ashooting/ and http://www.postcrescent.com/story/news/local/2015/06/11/policeN/agunmanN/apriorN/asuicidalN/ahomicidalN/athoughts/71064874/ and http://fox6now.com/2015/05/05/heN/awasN/amyN/afutureN/ahusbandN/afianceeN/aofN/amenashaN/agunmanN/asaysN/ashesN/adevastatedN/aforN/avictimsN/afamilies/ ,N/a,http://fox6now.com/2015/06/11/releasedN/amenashaN/apoliceN/aissueN/afinalN/areportN/aonN/atrestleN/atrailN/abridgeN/ashooting/ and http://www.postcrescent.com/story/news/local/2015/06/11/policeN/agunmanN/apriorN/asuicidalN/ahomicidalN/athoughts/71064874/ and http://fox6now.com/2015/05/05/heN/awasN/amyN/afutureN/ahusbandN/afianceeN/aofN/amenashaN/agunmanN/asaysN/ashesN/adevastatedN/aforN/avictimsN/afamilies/ ,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11N/ayearN/aold girl before turning the gun on himself.",,,,,,
Marysville-Pilchuck High School shooting,"Marysville, Washington",10/24/2014,2014,Native American,Male,5,1,6,School,48.050824,-122.176918,Mass,15,Unclear,"Fryberg was wellN/aliked and allegedly happy, but was also upset about a girl and had posted emotional social media messages. No definitive signs of mental health problems.",No,Gun was his father's.,Handgun,Beretta .40N/acaliber handgun,http://www.seattletimes.com/seattleN/anews/fourthN/amarysvilleN/ashootingN/avictimN/adiesN/aasN/aanotherN/aisN/alaidN/atoN/arest/ http://www.mercurynews.com/crimeN/acourts/ci_26814211/jaylenN/afrybergN/aincludedN/atributesN/awashingtonN/aschoolN/ashootingN/avictims,http://www.newyorker.com/science/mariaN/akonnikova/almostN/alinkN/amentalN/ahealthN/agunN/aviolence,http://www.seattletimes.com/seattleN/anews/fourthN/amarysvilleN/ashootingN/avictimN/adiesN/aasN/aanotherN/aisN/alaidN/atoN/arest/ http://www.mercurynews.com/crimeN/acourts/ci_26814211/jaylenN/afrybergN/aincludedN/atributesN/awashingtonN/aschoolN/ashootingN/avictims,"Jaylen Fryberg, 15, using a .40N/acaliber Berretta, shot five 
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly wellN/aliked at the school and there was not believed to be any illN/awill between him and his victims. He committed suicide at the scene.",,,,,,
